League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,ORB,DRB,REB,AST,STL,BLK,PTS,TOV,PF,PTS_per_min,REB_per_min,AST_per_min,STL_per_min,BLK_per_min,TOV_per_min,3P_pct,FT_pct,FG_pct
NBA,2016 - 2017,Playoffs,C.J. McCollum,POR,4,140.3,32,80,11,22,15,16,8,16,24,4,4,2,90,15,10,0.6414825374198146,0.17106200997861723,0.028510334996436206,0.028510334996436206,0.014255167498218103,0.10691375623663577,0.5,0.9375,0.4
NBA,2016 - 2017,Playoffs,Channing Frye,CLE,12,154.1,31,60,20,39,6,7,0,22,22,13,3,4,88,2,11,0.5710577547047372,0.1427644386761843,0.08436080467229072,0.01946787800129786,0.025957170668397145,0.012978585334198572,0.5128205128205128,0.8571428571428571,0.5166666666666667
NBA,2016 - 2017,Playoffs,Jamal Crawford,LAC,7,195.6,35,83,6,25,12,12,2,7,9,13,4,1,88,9,12,0.4498977505112475,0.046012269938650305,0.06646216768916155,0.02044989775051125,0.005112474437627812,0.046012269938650305,0.24,1.0,0.42168674698795183
NBA,2016 - 2017,Playoffs,Khris Middleton,MIL,6,231.2,31,78,7,19,18,22,0,28,28,32,12,0,87,11,17,0.3762975778546713,0.12110726643598617,0.1384083044982699,0.051903114186851215,0.0,0.04757785467128028,0.3684210526315789,0.8181818181818182,0.3974358974358974
NBA,2016 - 2017,Playoffs,Jaylen Brown,BOS,17,214.8,34,71,5,23,12,18,12,24,36,13,6,2,85,13,26,0.3957169459962756,0.16759776536312848,0.06052141527001862,0.027932960893854747,0.009310986964618248,0.06052141527001862,0.21739130434782608,0.6666666666666666,0.4788732394366197
NBA,2016 - 2017,Playoffs,Kyle Anderson,SAS,15,194.7,36,64,3,10,8,11,12,34,46,25,10,2,83,7,8,0.4262968669748331,0.23626091422701592,0.12840267077555215,0.05136106831022086,0.010272213662044172,0.0359527478171546,0.3,0.7272727272727273,0.5625
NBA,2016 - 2017,Playoffs,Derrick Favors,UTA,11,224.8,36,62,0,0,11,23,15,45,60,10,8,6,83,4,25,0.3692170818505338,0.2669039145907473,0.04448398576512455,0.03558718861209964,0.02669039145907473,0.01779359430604982,0.0,0.4782608695652174,0.5806451612903226
NBA,2016 - 2017,Playoffs,Greg Monroe,MIL,6,141.1,27,51,0,0,25,30,17,27,44,10,8,3,79,11,16,0.5598866052445075,0.3118355776045358,0.07087172218284904,0.05669737774627924,0.021261516654854713,0.07795889440113395,0.0,0.8333333333333334,0.5294117647058824
NBA,2016 - 2017,Playoffs,Cory Joseph,TOR,10,211.9,31,71,9,22,8,8,4,17,21,31,4,2,79,14,17,0.37281736668239734,0.09910335063709297,0.146295422369042,0.018876828692779613,0.009438414346389807,0.06606890042472864,0.4090909090909091,1.0,0.43661971830985913
NBA,2016 - 2017,Playoffs,Zach Randolph,MEM,6,191.4,35,83,1,7,8,11,9,40,49,4,5,2,79,7,14,0.412748171368861,0.2560083594566353,0.02089864158829676,0.02612330198537095,0.01044932079414838,0.03657262277951933,0.14285714285714285,0.7272727272727273,0.42168674698795183
NBA,2016 - 2017,Playoffs,Deron Williams,CLE,18,262.3,28,64,12,31,10,11,3,20,23,38,10,1,78,17,29,0.29736942432329394,0.08768585589020206,0.14487228364468166,0.03812428516965307,0.0038124285169653066,0.06481128478841021,0.3870967741935484,0.9090909090909091,0.4375
NBA,2016 - 2017,Playoffs,Zaza Pachulia,GSW,15,211.6,32,60,0,1,13,17,17,39,56,12,7,4,77,14,32,0.3638941398865785,0.26465028355387527,0.05671077504725898,0.03308128544423441,0.01890359168241966,0.06616257088846882,0.0,0.7647058823529411,0.5333333333333333
NBA,2016 - 2017,Playoffs,Tim Hardaway Jr.,ATL,6,200.4,27,82,11,42,12,19,3,13,16,7,3,0,77,10,13,0.3842315369261477,0.07984031936127745,0.03493013972055888,0.014970059880239521,0.0,0.0499001996007984,0.2619047619047619,0.631578947368421,0.32926829268292684
NBA,2016 - 2017,Playoffs,David West,GSW,17,221.2,34,59,1,2,7,9,7,39,46,36,7,13,76,10,26,0.3435804701627487,0.20795660036166366,0.162748643761302,0.03164556962025317,0.05877034358047017,0.045207956600361664,0.5,0.7777777777777778,0.576271186440678
NBA,2016 - 2017,Playoffs,Robin Lopez,CHI,6,162.1,34,52,0,0,8,8,28,15,43,5,3,6,76,8,13,0.4688463911165947,0.2652683528685996,0.030845157310302282,0.01850709438618137,0.03701418877236274,0.049352251696483655,0.0,1.0,0.6538461538461539
NBA,2016 - 2017,Playoffs,Iman Shumpert,CLE,17,274.9,25,60,10,26,14,17,6,41,47,16,10,3,74,6,32,0.2691887959257912,0.17097126227719173,0.058202982902873776,0.03637686431429611,0.010913059294288834,0.021826118588577668,0.38461538461538464,0.8235294117647058,0.4166666666666667
NBA,2016 - 2017,Playoffs,Shaun Livingston,GSW,14,219.9,34,59,0,0,5,7,10,19,29,20,5,2,73,10,24,0.33196907685311505,0.1318781264211005,0.09095043201455207,0.022737608003638016,0.009095043201455207,0.04547521600727603,0.0,0.7142857142857143,0.576271186440678
NBA,2016 - 2017,Playoffs,Joe Ingles,UTA,11,333.4,25,62,15,41,6,9,2,39,41,36,22,5,71,16,28,0.21295740851829636,0.1229754049190162,0.10797840431913618,0.06598680263947211,0.014997000599880026,0.04799040191961608,0.36585365853658536,0.6666666666666666,0.4032258064516129
NBA,2016 - 2017,Playoffs,"Kelly Oubre, Jr.",WAS,12,184.2,26,61,11,30,7,10,9,19,28,4,10,5,70,7,38,0.3800217155266015,0.15200868621064062,0.02171552660152009,0.05428881650380022,0.02714440825190011,0.038002171552660155,0.36666666666666664,0.7,0.4262295081967213
NBA,2016 - 2017,Playoffs,Jeff Teague,IND,4,142.4,22,45,9,17,15,18,0,13,13,25,4,3,68,8,12,0.47752808988764045,0.09129213483146068,0.17556179775280897,0.028089887640449437,0.021067415730337078,0.056179775280898875,0.5294117647058824,0.8333333333333334,0.4888888888888889
NBA,2016 - 2017,Playoffs,Taurean Prince,ATL,6,187.1,29,52,4,14,5,5,7,25,32,8,2,1,67,7,9,0.35809727418492787,0.17103153393907003,0.04275788348476751,0.010689470871191877,0.005344735435595938,0.03741314804917157,0.2857142857142857,1.0,0.5576923076923077
NBA,2016 - 2017,Playoffs,Lance Stephenson,IND,4,107.2,27,53,7,18,3,4,1,20,21,11,2,0,64,4,11,0.5970149253731343,0.19589552238805968,0.10261194029850745,0.018656716417910446,0.0,0.03731343283582089,0.3888888888888889,0.75,0.5094339622641509
